Run, Time Trad, Time ToA,,, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
144,2.450285,14.918746,FALSE,13.5465023056,14.918372,0,12,12,False,60,78,32,tidy_all(library),False
145,2.00011,23.104117,FALSE,13.6124168897,23.103831,0,7,7,False,8,78,19,tidy_all(library),False
146,2.564163,16.522558,FALSE,13.632349363,16.522233,0,10,12,False,46,78,92,tidy_all(library),False
147,2.446699,21.878793,FALSE,13.688447619,15.600139,6.277941,10,10,True,79,79,144,tidy_all(library),False
148,0.882295,29.959714,FALSE,13.7983886081,29.959417,0,17,17,False,64,79,108,tidy_all(library),False
149,1.375839,30.699673,FALSE,13.911820047,30.699337,0,16,16,False,15,79,133,tidy_all(library),False
150,0.26418,22.580868,FALSE,13.9696137,22.580545,0,6,14,False,49,79,180,tidy_all(library),False
151,0.264641,22.752386,FALSE,14.027777755,22.752035,0,6,14,False,49,79,180,tidy_all(library),False
152,1.338787,17.706928,FALSE,14.0519826908,12.984572,4.721665,12,12,True,80,80,73,tidy_all(library),False
153,0.277324,26.754975,FALSE,14.1350087843,24.464151,2.290114,5,5,True,81,81,120,tidy_all(library),False
154,1.478622,22.012331,FALSE,14.1861602273,17.09903,4.91257,14,14,True,82,82,53,tidy_all(library),False
155,2.152902,34.449618,FALSE,14.3168922129,34.449302,0,14,14,False,34,82,189,tidy_all(library),False
156,2.461761,22.326322,FALSE,14.3682347115,14.85879,7.466723,13,13,True,83,83,37,tidy_all(library),False
157,0.300837,33.575897,FALSE,14.4905765096,33.575556,0,7,17,False,33,83,173,tidy_all(library),False
158,1.04288,26.821102,FALSE,14.5686178101,21.947597,4.872699,16,16,True,84,84,186,tidy_all(library),False
159,0.238699,21.265388,FALSE,14.6107358616,21.265054,0,3,7,False,8,84,20,tidy_all(library),False
160,1.531978,27.908925,FALSE,14.6938495438,27.908602,0,7,11,False,42,84,172,tidy_all(library),False
161,3.651995,25.153895,FALSE,14.7588187702,15.475611,9.677485,13,13,True,85,85,57,tidy_all(library),False
162,2.781453,25.029189,FALSE,14.8222161173,25.028868,0,9,9,False,31,85,9,tidy_all(library),False
